Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
ASUSTeK Computer Inc.,1,1U,20908,60600,54700,48700,42700,36500,30400,24400,18300,12200,608773,214,201,189,175,161,149,131,120,109,10,51.4,28358,27149,25789,24360,22626,20457,18621,15320,11206,6061,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16 GB,Delta DPS-650XB E Rev.0F P/N: 0A10-03700,650
ASUSTeK Computer Inc.,1,1U,21168,58800,53100,47200,41200,35300,29500,23600,17700,11800,589426,206,191,177,162,149,138,127,117,107,10,56.4,28488,27771,26681,25448,23712,21308,18584,15147,11015,5895,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16 GB,Delta DPS-650XB E Rev.0F P/N: 0A10-03700,650
ASUSTeK Computer Inc.,1,1U,20214,117000,106000,93900,82300,70600,58800,47000,35300,23500,11800,430,40,372,344,311,294,270,244,227,197,106,27225,26427,25215,23940,22690,2014,17378,14480,10357,5973,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16 GB,ACBEL R1CA2801A REV:C P/N: 0A10-008150,80
ASUSTeK Computer Inc.,1,1U,20350,119000,108000,95900,83900,72000,6000,48000,36000,24000,12000,425,410,377,362,325,307,270,250,222,199,92.9,28081,26352,25432,23190,22169,19520,17788,14416,10829,6025,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16 GB,ACBEL R1CA2801A REV:C P/N: 0A10-008150,80
ASUSTeK Computer Inc.,1,2U,14274,58500,52800,46900,41100,35200,29400,23500,17600,11700,587425,405,328,283,248,213,187,165,147,127,107,47.4,14434,16084,16548,16529,16468,15723,14240,11977,9232,5481,56,2,28,Intel Xeon Platinum 8280L 2.70 GHz,12 x 16 GB,Delta DPS-850AB-3 Rev.C,850
ASUSTeK Computer Inc.,1,2U,14066,58600,52600,46900,41100,35100,29300,23500,17600,11700,589346,412,330,285,249,214,188,165,149,129,109,62.4,14242,15934,16435,16466,16440,15622,14194,11831,9125,5428,56,2,28,Intel Xeon Platinum 8280L 2.70 GHz,12 x 16 GB,Delta DPS-850AB-3 Rev.C,850
ASUSTeK Computer Inc.,1,2U,12727,53900,49400,43900,38400,32900,27400,22000,16400,11000,547494,385,347,306,269,235,205,179,154,129,106,48.2,13982,14234,14341,14304,1402,13366,12295,10695,8483,5157,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,Delta DPS-850AB-3 Rev.C,850
ASUSTeK Computer Inc.,4,2U,11935,193000,175000,155000,136000,117000,97100,77700,58300,38900,19400,1417,1287,1139,103,888,783,689,598,513,427,193,13592,13584,13651,13548,13127,12399,11277,9747,7576,4543,224,8,28,Intel Xeon Platinum 8176M,12 x 16 GB,Shared,0
Dell Inc.,4,2U,9472,129000,118000,103000,90300,77500,64600,51800,38700,25800,12900,1229,1071,924,802,705,647,589,522,449,371,210,10533,10978,11189,11267,10993,9994,8785,7422,5749,3489,144,8,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8196 MB,N/A,0
Dell Inc.,4,2U,9288,13000,118000,104000,90700,77700,64800,51900,38900,25900,12900,1256,1105,948,823,721,658,593,525,455,382,228,10332,10716,10931,11021,10773,9857,8745,7411,5683,3385,144,8,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8 GB,N/A,0
